"","County_FIPS_Code","State_FIPS_Code","CHSI_County_Name","CHSI_State_Name","CHSI_State_Abbr","Strata_ID_Number","Strata_Determining_Factors","Number_Counties","Population_Size","Population_Density","Poverty","Age_19_Under","Age_19_64","Age_65_84","Age_85_and_Over","White","Black","Native_American","Asian","Hispanic","No_HS_Diploma","Unemployed","Sev_Work_Disabled","Major_Depression","Recent_Drug_Use","Ecol_Rpt","Ecol_Rpt_Ind","Ecol_Exp","Salm_Rpt","Salm_Rpt_Ind","Salm_Exp","Shig_Rpt","Shig_Rpt_Ind","Shig_Exp","Toxic_Chem","Carbon_Monoxide_Ind","Nitrogen_Dioxide_Ind","Sulfur_Dioxide_Ind","Ozone_Ind","Particulate_Matter_Ind","Lead_Ind","EH_Time_Span","No_Exercise","Few_Fruit_Veg","Obesity","High_Blood_Pres","Smoker","Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Prim_Care_Phys_Rate","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind","A_Wh_Comp","A_Bl_Comp","A_Ot_Comp","A_Hi_Comp","A_Wh_BirthDef","A_Bl_BirthDef","A_Ot_BirthDef","A_Hi_BirthDef","B_Wh_Injury","B_Bl_Injury","B_Ot_Injury","B_Hi_Injury","B_Wh_Cancer","B_Bl_Cancer","B_Ot_Cancer","B_Hi_Cancer","B_Wh_Homicide","B_Bl_Homicide","B_Ot_Homicide","B_Hi_Homicide","C_Wh_Injury","C_Bl_Injury","C_Ot_Injury","C_Hi_Injury","C_Wh_Homicide","C_Bl_Homicide","C_Ot_homicide","C_Hi_Homicide","C_Wh_Suicide","C_Bl_Suicide","C_Ot_Suicide","C_Hi_Suicide","C_Wh_Cancer","C_Bl_Cancer","C_Ot_Cancer","C_Hi_Cancer","D_Wh_Injury","D_Bl_Injury","D_Ot_Injury","D_Hi_Injury","D_Wh_Cancer","D_Bl_Cancer","D_Ot_Cancer","D_Hi_Cancer","D_Wh_HeartDis","D_Bl_HeartDis","D_Ot_HeartDis","D_Hi_HeartDis","D_Wh_Suicide","D_Bl_Suicide","D_Ot_Suicide","D_Hi_Suicide","D_Wh_HIV","D_Bl_HIV","D_Ot_HIV","D_Hi_HIV","D_Wh_Homicide","D_Bl_Homicide","D_Ot_Homicide","D_Hi_Homicide","E_Wh_Cancer","E_Bl_Cancer","E_Ot_Cancer","E_Hi_Cancer","E_Wh_HeartDis","E_Bl_HeartDis","E_Ot_HeartDis","E_Hi_HeartDis","F_Wh_HeartDis","F_Bl_HeartDis","F_Ot_HeartDis","F_Hi_HeartDis","F_Wh_Cancer","F_Bl_Cancer","F_Ot_Cancer","F_Hi_Cancer","LCD_Time_Span","ALE","US_ALE","All_Death","US_All_Death","Health_Status","US_Health_Status","Unhealthy_Days","US_Unhealthy_Days"
"11","021","01","Chilton","Alabama","AL",32,"frontier status, population size, poverty, age",37,41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,9484,685,1887,2355,2009,0,3,2,13,3,28,0,3,8,20846,1,1,1,1,1,1,NA,30.3,82.8,31.2,26.5,30,6,6130,4527,1307,31.1,19.2,1,2,42,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,22,NA,NA,11,15,NA,NA,23,11,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,30,28,NA,NA,28,30,NA,NA,34,31,NA,NA,18,23,NA,NA,NA,74.1,76.5,1040.4,898.6,26,17.1,9.7,6
"12","023","01","Choctaw","Alabama","AL",66,"frontier status, population size, poverty, age, population density",37,14807,16,18.7,24.9,59.5,13.7,2,55.7,43.9,0.1,0.1,0.8,3499,325,589,837,701,0,3,0,21,3,29,4,3,24,1997045,1,1,1,1,1,1,NA,NA,NA,NA,NA,17.1,13.5,2677,2148,800,33.8,20.3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,NA,NA,30,12,NA,NA,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,28,NA,NA,30,36,NA,NA,37,36,NA,NA,23,21,NA,NA,NA,74.6,76.5,975.7,898.6,29.8,17.1,NA,6
"13","025","01","Clarke","Alabama","AL",51,"frontier status, population size, poverty, age, population density",33,27269,22,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,5196,594,972,1494,1290,0,3,0,12,3,28,1,3,15,545514,1,1,1,1,1,1,NA,31.5,NA,NA,NA,NA,15.8,4593,3850,1150,55,29.3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,37,NA,NA,15,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,30,NA,NA,31,30,NA,NA,31,36,NA,NA,19,19,NA,NA,NA,74,76.5,982,898.6,NA,17.1,5.8,6
"14","027","01","Clay","Alabama","AL",63,"frontier status, population size, poverty, age, population density",32,13964,23,14,22.4,60.3,14.9,2.5,84.2,15,0.3,0.1,2.1,3333,266,624,814,664,2,4,1,14,3,18,3,3,4,209084,1,1,1,1,1,1,NA,NA,NA,NA,NA,23.9,12.2,2320,2198,610,35.8,14.3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,18,NA,NA,31,37,NA,NA,38,38,NA,NA,19,24,NA,NA,NA,74.9,76.5,950.3,898.6,NA,17.1,7.1,6
"15","029","01","Cleburne","Alabama","AL",41,"frontier status, population size, poverty, age",47,14460,26,14,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,3695,234,597,833,697,1,4,1,15,3,26,4,3,12,869963,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,10.5,2107,1852,646,0,6.9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,12,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,25,NA,NA,NA,36,33,NA,NA,23,20,NA,NA,NA,75.3,76.5,1072.8,898.6,NA,17.1,8,6
"16","031","01","Coffee","Alabama","AL",32,"frontier status, population size, poverty, age",37,45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,8316,694,1940,2590,2179,1,3,2,85,4,31,81,4,9,1002559,1,1,1,1,1,1,NA,23.3,NA,25.5,31.3,23,10.3,6764,6099,1366,48.3,39.5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,11,NA,NA,17,11,NA,NA,13,20,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,37,NA,NA,30,29,NA,NA,35,31,NA,NA,21,26,NA,NA,NA,75.9,76.5,923.6,898.6,19.1,17.1,7.1,6
"17","033","01","Colbert","Alabama","AL",21,"frontier status, population size, poverty, age",44,54660,92,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3,10160,1203,2463,3162,2606,0,3,5,28,3,36,1,3,8,5860561,1,1,1,1,1,1,NA,30.2,76.9,30.1,NA,21.7,13.6,8141,8226,2302,60.4,31.1,1,2,40,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,26,12,NA,NA,14,26,NA,NA,17,18,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,24,NA,NA,28,35,NA,NA,31,31,NA,NA,23,22,NA,NA,NA,75.3,76.5,964.4,898.6,20.3,17.1,5.6,6
"18","035","01","Conecuh","Alabama","AL",75,"frontier status, population size, poverty, age, population density",37,13257,16,22,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,2872,296,576,746,635,0,3,1,19,3,24,3,3,8,77918,1,1,1,1,1,1,NA,NA,NA,NA,NA,12.3,8.2,2657,1947,725,60.3,7.5,1,1,NA,55,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,20,NA,NA,17,17,NA,NA,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,28,NA,NA,31,23,NA,NA,38,39,NA,NA,21,21,NA,NA,NA,73,76.5,1093.6,898.6,19.1,17.1,7.4,6
"19","037","01","Coosa","Alabama","AL",41,"frontier status, population size, poverty, age",47,11162,17,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,2707,231,422,645,517,0,3,1,4,3,23,5,3,11,25245,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,15,2028,1562,621,9,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,21,NA,NA,16,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,33,26,NA,NA,35,29,NA,NA,37,30,NA,NA,23,25,NA,NA,NA,74.9,76.5,909.2,898.6,18.3,17.1,4.9,6
"20","039","01","Covington","Alabama","AL",35,"frontier status, population size, poverty, age",27,37003,36,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,8116,686,1763,2131,1748,0,3,2,36,4,30,9,3,22,5291,1,1,1,1,1,1,NA,28.8,NA,30.2,NA,27.8,12.1,6094,6401,1583,59.5,24.3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,11,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,18,NA,NA,31,35,NA,NA,32,33,NA,NA,21,26,NA,NA,NA,74.7,76.5,999.7,898.6,22,17.1,5.2,6
"21","041","01","Crenshaw","Alabama","AL",71,"frontier status, population size, poverty, age, population density",33,13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,3755,271,692,783,651,0,3,0,21,4,20,3,3,7,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2504,2272,568,14.6,14.6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,24,NA,NA,12,12,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,33,31,NA,NA,27,24,NA,NA,36,37,NA,NA,19,17,NA,NA,NA,73.7,76.5,1058.7,898.6,NA,17.1,NA,6
"22","043","01","Cullman","Alabama","AL",21,"frontier status, population size, poverty, age",44,79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,16275,1367,3993,4572,3803,0,3,8,60,4,51,15,4,12,1565840,1,1,1,1,1,1,NA,29.4,76.2,22.2,35,27.6,10,11912,11129,2400,53.8,22.5,1,2,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,15,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,32,NA,NA,NA,34,36,NA,NA,19,24,NA,NA,NA,75.3,76.5,1028.7,898.6,23.8,17.1,8.2,6
"23","045","01","Dale","Alabama","AL",33,"frontier status, population size, poverty, age",41,48748,87,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,7021,828,1811,2655,2280,0,3,2,73,4,42,17,4,17,90996,1,1,1,1,1,1,NA,30.4,79.5,25,NA,29.3,12.1,7831,7809,2314,24.6,22.6,2,1,40,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,32,NA,NA,12,14,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,37,NA,NA,23,20,NA,NA,36,31,NA,NA,20,20,NA,NA,NA,75.5,76.5,987.4,898.6,23.9,17.1,5.8,6
"24","047","01","Dallas","Alabama","AL",52,"frontier status, population size, poverty, age, population density",40,44366,45,25,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,8207,1260,2183,2378,2155,0,3,0,30,3,44,9,3,21,2011358,1,1,1,1,1,1,NA,31.5,85.9,36.6,NA,20.4,11.5,9242,6424,2302,101.4,38.3,1,2,NA,42,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,17,NA,NA,15,13,NA,NA,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,30,24,NA,NA,25,30,NA,NA,31,36,NA,NA,20,21,NA,NA,NA,72.1,76.5,1136,898.6,25.1,17.1,7,6
"25","049","01","DeKalb","Alabama","AL",24,"frontier status, population size, poverty, age",35,67271,86,15.1,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8,16525,1414,2949,3790,3150,2,4,3,21,3,46,12,4,23,217675,1,1,1,1,1,1,NA,37,80.7,24.3,35.3,19.1,7.8,12260,8411,2351,34.2,19.3,1,2,33,NA,NA,NA,18,NA,NA,NA,42,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,17,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,31,NA,NA,NA,39,49,NA,NA,18,17,NA,NA,NA,75.1,76.5,960.6,898.6,22,17.1,7.2,6
"26","051","01","Elmore","Alabama","AL",19,"frontier status, population size, poverty, age",37,73937,119,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7,10979,1091,2028,4170,3646,3,3,7,70,4,51,15,4,14,74339,1,1,1,1,1,1,NA,27.7,85,24.8,23,22.6,5.5,8320,7792,2167,33.8,16.2,1,2,25,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,22,19,NA,NA,17,NA,NA,NA,14,12,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,27,NA,NA,26,33,NA,NA,32,31,NA,NA,22,17,NA,NA,NA,75.2,76.5,946.9,898.6,15.1,17.1,5.8,6
